"value","count","percent"
20,1,1e-05
24,2,2e-05
25,3,3e-05
26,2,2e-05
27,12,0.00012
28,9,9e-05
29,12,0.00012
30,6,6e-05
31,13,0.00013
32,31,0.00031
33,50,5e-04
34,40,4e-04
35,75,0.00075
36,67,0.00067
37,94,0.00094
38,99,0.00099
39,150,0.0015
40,170,0.0017
41,208,0.00208
42,306,0.00306
43,272,0.00272
44,320,0.0032
45,442,0.00442
46,489,0.00489
47,527,0.00527
48,625,0.00625
49,774,0.00774
50,863,0.00863
51,989,0.00989
52,1160,0.0116
53,1374,0.01374
54,1453,0.01453
55,1675,0.01675
56,1919,0.01919
57,2013,0.02013
58,2358,0.02358
59,2623,0.02623
60,2845,0.02845
61,3192,0.03192
62,3464,0.03464
63,3706,0.03706
64,4093,0.04093
65,4327,0.04327
66,4522,0.04522
67,4787,0.04787
68,5286,0.05286
69,5376,0.05376
70,5794,0.05794
71,6177,0.06177
72,6393,0.06393
73,6659,0.06659
74,7243,0.07243
75,7355,0.07355
76,7961,0.07961
77,8037,0.08037
78,8556,0.08556
79,9041,0.09041
80,9423,0.09423
81,9933,0.09933
82,10189,0.10189
83,10841,0.10841
84,11125,0.11125
85,11344,0.11344
86,12069,0.12069
87,12377,0.12377
88,12887,0.12887
89,13428,0.13428
90,14012,0.14012
91,14645,0.14645
92,15259,0.15259
93,16574,0.16574
94,17670,0.1767
95,18620,0.1862
96,19926,0.19926
97,21049,0.21049
98,22051,0.22051
99,23312,0.23312
100,24594,0.24594
101,25606,0.25606
102,26547,0.26547
103,27665,0.27665
104,28400,0.284
105,29804,0.29804
106,30512,0.30512
107,31365,0.31365
108,32011,0.32011
109,32584,0.32584
110,32401,0.32401
111,32680,0.3268
112,32709,0.32709
113,32216,0.32216
114,31425,0.31425
115,30177,0.30177
116,28642,0.28642
117,27297,0.27297
118,25631,0.25631
119,24698,0.24698
120,23990,0.2399
121,23053,0.23053
122,23336,0.23336
123,23837,0.23837
124,25354,0.25354
125,26774,0.26774
126,29030,0.2903
127,30614,0.30614
128,32877,0.32877
129,35411,0.35411
130,37841,0.37841
131,40273,0.40273
132,43033,0.43033
133,45701,0.45701
134,49059,0.49059
135,51960,0.5196
136,54963,0.54963
137,58434,0.58434
138,61878,0.61878
139,65639,0.65639
140,70058,0.70058
141,74247,0.74247
142,78330,0.7833
143,83332,0.83332
144,87743,0.87743
145,92240,0.9224
146,97314,0.97314
147,102009,1.02009
148,107449,1.07449
149,113852,1.13852
150,119661,1.19661
151,126657,1.26657
152,135327,1.35327
153,144454,1.44454
154,155681,1.55681
155,166678,1.66678
156,179255,1.79255
157,191378,1.91378
158,202732,2.02732
159,216028,2.16028
160,227104,2.27104
161,239630,2.3963
162,252362,2.52362
163,263308,2.63308
164,273781,2.73781
165,284122,2.84122
166,293786,2.93786
167,301598,3.01598
168,305495,3.05495
169,310014,3.10014
170,311740,3.1174
171,309806,3.09806
172,304420,3.0442
173,293276,2.93276
174,277089,2.77089
175,258295,2.58295
176,234847,2.34847
177,209598,2.09598
178,179631,1.79631
179,148976,1.48976
180,119814,1.19814
181,90038,0.90038
182,65127,0.65127
183,43613,0.43613
184,26641,0.26641
185,15118,0.15118
186,7919,0.07919
187,3608,0.03608
188,1454,0.01454
189,470,0.0047
190,88,0.00088
191,12,0.00012
