"value","count","percent"
14,1,1e-05
15,5,5e-05
16,8,8e-05
17,22,0.00022
18,30,3e-04
19,52,0.00052
20,129,0.00129
21,298,0.00298
22,472,0.00472
23,792,0.00792
24,1308,0.01308
25,2042,0.02042
26,3258,0.03258
27,4817,0.04817
28,7026,0.07026
29,10116,0.10116
30,14067,0.14067
31,18793,0.18793
32,24929,0.24929
33,32731,0.32731
34,41294,0.41294
35,51378,0.51378
36,62743,0.62743
37,75817,0.75817
38,89341,0.89341
39,104233,1.04233
40,120716,1.20716
41,134926,1.34926
42,151036,1.51036
43,166682,1.66682
44,181243,1.81243
45,193318,1.93318
46,205966,2.05966
47,216673,2.16673
48,223492,2.23492
49,230121,2.30121
50,234672,2.34672
51,235838,2.35838
52,235922,2.35922
53,234967,2.34967
54,232068,2.32068
55,226583,2.26583
56,220050,2.2005
57,212850,2.1285
58,204042,2.04042
59,195431,1.95431
60,186434,1.86434
61,176651,1.76651
62,167629,1.67629
63,158720,1.5872
64,148600,1.486
65,141768,1.41768
66,134017,1.34017
67,126703,1.26703
68,120238,1.20238
69,115013,1.15013
70,110588,1.10588
71,106640,1.0664
72,103640,1.0364
73,100548,1.00548
74,96600,0.966
75,94075,0.94075
76,90482,0.90482
77,88232,0.88232
78,85175,0.85175
79,81600,0.816
80,77832,0.77832
81,74295,0.74295
82,69851,0.69851
83,65818,0.65818
84,61597,0.61597
85,57447,0.57447
86,53645,0.53645
87,49375,0.49375
88,46451,0.46451
89,43221,0.43221
90,40287,0.40287
91,38109,0.38109
92,36533,0.36533
93,36166,0.36166
94,36098,0.36098
95,36349,0.36349
96,38291,0.38291
97,40483,0.40483
98,43169,0.43169
99,46489,0.46489
100,50342,0.50342
101,54011,0.54011
102,58082,0.58082
103,62152,0.62152
104,66125,0.66125
105,68963,0.68963
106,71655,0.71655
107,73877,0.73877
108,75258,0.75258
109,75563,0.75563
110,75118,0.75118
111,74705,0.74705
112,73020,0.7302
113,70972,0.70972
114,67780,0.6778
115,64943,0.64943
116,61241,0.61241
117,57547,0.57547
118,54301,0.54301
119,49795,0.49795
120,46809,0.46809
121,43346,0.43346
122,39948,0.39948
123,36768,0.36768
124,34181,0.34181
125,32045,0.32045
126,29418,0.29418
127,27733,0.27733
128,26446,0.26446
129,24965,0.24965
130,23344,0.23344
131,22646,0.22646
132,22034,0.22034
133,20878,0.20878
134,20007,0.20007
135,19198,0.19198
136,18179,0.18179
137,17240,0.1724
138,16302,0.16302
139,15351,0.15351
140,14240,0.1424
141,13267,0.13267
142,12190,0.1219
143,10936,0.10936
144,10253,0.10253
145,9169,0.09169
146,8141,0.08141
147,7234,0.07234
148,6513,0.06513
149,5705,0.05705
150,5079,0.05079
151,4502,0.04502
152,3909,0.03909
153,3430,0.0343
154,2887,0.02887
155,2475,0.02475
156,2026,0.02026
157,1606,0.01606
158,1414,0.01414
159,1076,0.01076
160,986,0.00986
161,757,0.00757
162,613,0.00613
163,482,0.00482
164,387,0.00387
165,303,0.00303
166,247,0.00247
167,189,0.00189
168,148,0.00148
169,105,0.00105
170,94,0.00094
171,53,0.00053
172,44,0.00044
173,33,0.00033
174,23,0.00023
175,17,0.00017
176,9,9e-05
177,6,6e-05
178,4,4e-05
179,1,1e-05
180,2,2e-05
