"value","count","percent"
14,1,1e-05
15,5,5e-05
16,8,8e-05
17,22,0.00022
18,30,3e-04
19,52,0.00052
20,129,0.00129
21,303,0.00303
22,475,0.00475
23,818,0.00818
24,1357,0.01357
25,2149,0.02149
26,3523,0.03523
27,5272,0.05272
28,7841,0.07841
29,11539,0.11539
30,16495,0.16495
31,22599,0.22599
32,30732,0.30732
33,41896,0.41896
34,54394,0.54394
35,69543,0.69543
36,87915,0.87915
37,109606,1.09606
38,134775,1.34775
39,161800,1.618
40,193015,1.93015
41,224230,2.2423
42,258418,2.58418
43,293176,2.93176
44,327063,3.27063
45,359514,3.59514
46,389381,3.89381
47,419665,4.19665
48,441358,4.41358
49,458078,4.58078
50,469661,4.69661
51,476001,4.76001
52,474849,4.74849
53,467649,4.67649
54,454936,4.54936
55,434975,4.34975
56,410157,4.10157
57,383387,3.83387
58,350603,3.50603
59,316827,3.16827
60,281562,2.81562
61,248049,2.48049
62,214960,2.1496
63,181399,1.81399
64,153189,1.53189
65,127199,1.27199
66,101729,1.01729
67,81341,0.81341
68,64364,0.64364
69,49360,0.4936
70,37883,0.37883
71,27570,0.2757
72,20652,0.20652
73,14573,0.14573
74,10456,0.10456
75,6884,0.06884
76,4816,0.04816
77,2931,0.02931
78,2010,0.0201
79,1225,0.01225
80,732,0.00732
81,423,0.00423
82,210,0.0021
83,126,0.00126
84,76,0.00076
85,30,3e-04
86,13,0.00013
87,10,1e-04
88,1,1e-05
89,3,3e-05
93,2,2e-05
