"value","count","percent"
14,1,1e-05
15,5,5e-05
16,8,8e-05
17,22,0.00022
18,30,3e-04
19,52,0.00052
20,127,0.00127
21,296,0.00296
22,456,0.00456
23,765,0.00765
24,1228,0.01228
25,1870,0.0187
26,3005,0.03005
27,4171,0.04171
28,5912,0.05912
29,8331,0.08331
30,11106,0.11106
31,14106,0.14106
32,18080,0.1808
33,22335,0.22335
34,26763,0.26763
35,31376,0.31376
36,35966,0.35966
37,41289,0.41289
38,45632,0.45632
39,50342,0.50342
40,54706,0.54706
41,58028,0.58028
42,61920,0.6192
43,65713,0.65713
44,68033,0.68033
45,70608,0.70608
46,73836,0.73836
47,76464,0.76464
48,78856,0.78856
49,81381,0.81381
50,84307,0.84307
51,85647,0.85647
52,87636,0.87636
53,88608,0.88608
54,88783,0.88783
55,89780,0.8978
56,88932,0.88932
57,87904,0.87904
58,87383,0.87383
59,85214,0.85214
60,85197,0.85197
61,84420,0.8442
62,83784,0.83784
63,83435,0.83435
64,83076,0.83076
65,83385,0.83385
66,83265,0.83265
67,83301,0.83301
68,83900,0.839
69,83632,0.83632
70,83683,0.83683
71,83652,0.83652
72,82911,0.82911
73,83452,0.83452
74,82485,0.82485
75,82082,0.82082
76,80984,0.80984
77,81336,0.81336
78,81854,0.81854
79,81070,0.8107
80,80623,0.80623
81,80627,0.80627
82,80002,0.80002
83,79444,0.79444
84,77649,0.77649
85,76315,0.76315
86,74519,0.74519
87,73109,0.73109
88,70540,0.7054
89,69819,0.69819
90,68070,0.6807
91,67692,0.67692
92,67611,0.67611
93,67907,0.67907
94,69489,0.69489
95,70608,0.70608
96,73094,0.73094
97,74653,0.74653
98,76666,0.76666
99,78512,0.78512
100,81023,0.81023
101,81984,0.81984
102,83590,0.8359
103,84907,0.84907
104,85677,0.85677
105,86450,0.8645
106,87259,0.87259
107,88256,0.88256
108,89499,0.89499
109,90151,0.90151
110,91972,0.91972
111,93129,0.93129
112,94465,0.94465
113,94831,0.94831
114,94496,0.94496
115,94829,0.94829
116,93883,0.93883
117,93330,0.9333
118,92547,0.92547
119,91314,0.91314
120,89994,0.89994
121,90147,0.90147
122,89240,0.8924
123,89197,0.89197
124,88735,0.88735
125,89628,0.89628
126,90462,0.90462
127,91405,0.91405
128,92513,0.92513
129,92892,0.92892
130,92967,0.92967
131,93702,0.93702
132,93353,0.93353
133,93325,0.93325
134,92486,0.92486
135,91891,0.91891
136,91714,0.91714
137,90976,0.90976
138,90150,0.9015
139,89575,0.89575
140,89093,0.89093
141,87947,0.87947
142,88101,0.88101
143,85358,0.85358
144,84175,0.84175
145,80839,0.80839
146,77947,0.77947
147,74555,0.74555
148,70564,0.70564
149,66894,0.66894
150,61394,0.61394
151,56515,0.56515
152,52744,0.52744
153,48213,0.48213
154,43001,0.43001
155,39271,0.39271
156,35385,0.35385
157,31492,0.31492
158,27784,0.27784
159,24676,0.24676
160,22027,0.22027
161,19698,0.19698
162,16630,0.1663
163,14136,0.14136
164,12183,0.12183
165,10204,0.10204
166,8547,0.08547
167,6883,0.06883
168,5429,0.05429
169,4190,0.0419
170,3288,0.03288
171,2408,0.02408
172,1830,0.0183
173,1258,0.01258
174,892,0.00892
175,642,0.00642
176,408,0.00408
177,245,0.00245
178,150,0.0015
179,89,0.00089
180,52,0.00052
181,26,0.00026
182,11,0.00011
183,10,1e-04
184,1,1e-05
185,3,3e-05
189,2,2e-05
